Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
78,0.823465,2.48873,1.04514,0.969692,-0.140322,0,0.979792,0.10113,-0.0475814,0,0.111764,0.762333,-0.530507,0.925762,1.17758,-0.170404,0,1.18984
79,0.833341,2.51484,1.03098,0.9678,-0.157151,0,0.980476,0.09181,-0.0461524,0,0.102758,0.775218,-0.501746,0.930252,1.16135,-0.18858,0,1.17656
80,0.844249,2.54362,1.01545,0.965103,-0.175473,0,0.980926,0.0829,-0.0446213,0,0.094146,0.789501,-0.469863,0.935152,1.14315,-0.207845,0,1.16189
81,0.856271,2.57524,0.998359,0.961284,-0.195427,0,0.980948,0.0744,-0.042987,0,0.0859258,0.805341,-0.434508,0.940521,1.12264,-0.228231,0,1.1456
82,0.869601,2.61021,0.979512,0.956098,-0.217228,0,0.980464,0.06633,-0.0412526,0,0.0781118,0.822993,-0.395104,0.946404,1.09947,-0.249802,0,1.12749
83,0.884377,2.64885,0.958639,0.949077,-0.241035,0,0.979206,0.05869,-0.0394176,0,0.0706984,0.842699,-0.351119,0.952872,1.07316,-0.272548,0,1.10723
84,0.90084,2.69172,0.935391,0.939679,-0.267038,0,0.976886,0.05149,-0.0374837,0,0.0636887,0.864819,-0.301743,0.960014,1.04311,-0.296432,0,1.08442
85,0.919349,2.73972,0.909254,0.92718,-0.295403,0,0.973101,0.04474,-0.0354533,0,0.0570842,0.889891,-0.24578,0.967958,1.00852,-0.321318,0,1.05847
86,0.940223,2.79361,0.879732,0.910615,-0.326196,0,0.967276,0.03844,-0.0333259,0,0.0508749,0.918421,-0.182097,0.976812,0.96851,-0.346935,0,1.02877
87,0.963825,2.85424,0.84633,0.8888,-0.359385,0,0.958709,0.0326,-0.0311046,0,0.0450583,0.950971,-0.10944,0.986664,0.922159,-0.372874,0,0.994692
88,0.990546,2.92249,0.808307,0.860007,-0.394669,0,0.946243,0.02723,-0.0287932,0,0.0396298,0.988212,-0.0263124,0.997644,0.868216,-0.398436,0,0.955275
89,1.02082,2.99935,0.764816,0.822168,-0.431093,0,0.928333,0.02232,-0.0263869,0,0.0345609,1.03089,0.0689612,1.00987,0.805397,-0.422299,0,0.909395
90,1.05506,3.08565,0.714891,0.772551,-0.46718,0,0.902825,0.0179,-0.0239011,0,0.0298609,1.07975,0.178014,1.0234,0.732235,-0.4428,0,0.85571
91,1.09361,3.18217,0.657435,0.70829,-0.49972,0,0.86683,0.01395,-0.0213254,0,0.0254828,1.13545,0.30235,1.03826,0.647659,-0.456943,0,0.792628
92,1.13626,3.28803,0.591282,0.626113,-0.523661,0,0.816234,0.01049,-0.0186731,0,0.0214179,1.19794,0.441834,1.05429,0.551032,-0.460865,0,0.718354
93,1.1821,3.40086,0.515625,0.524328,-0.531184,0,0.746376,0.00752,-0.0159476,0,0.0176316,1.26609,0.593956,1.07106,0.443557,-0.449358,0,0.631399
94,1.22939,3.51621,0.42931,0.40376,-0.511123,0,0.651359,0.00504,-0.0131519,0,0.0140845,1.33746,0.753264,1.08791,0.328423,-0.415753,0,0.529823
95,1.27591,3.62917,0.33217,0.27208,-0.451121,0,0.526819,0.00305,-0.0102889,0,0.0107315,1.40816,0.911077,1.10365,0.213244,-0.353568,0,0.412896
96,1.31324,3.71853,0.227504,0.145866,-0.343863,0,0.373522,0.00156,-0.00738187,0,0.0075449,1.46616,1.04055,1.11645,0.111073,-0.261844,0,0.284428
97,1.34539,3.79789,0.113022,0.0466465,-0.185054,0,0.190843,0.00056,-0.00441903,0,0.00445437,1.51374,1.14675,1.12513,0.0346714,-0.137547,0,0.14185
98,1.3504,3.80817,0.000161969,-3.45555e-05,0.000272682,0,0.000274862,6e-05,-0.00143112,0,0.00143238,1.52327,1.16801,1.12801,-2.5589e-05,0.000201926,0,0.000203541
99,1.337,3.77218,0.0775173,0,0.130164,0,0.130164,0,0,0,0,1.50634,1.13022,1.12665,0,0.0973549,0,0.0973549
100,1.33662,3.77666,0.156633,0.0327617,0.260399,0,0.262451,6e-05,0.00144466,0,0.0014459,1.50036,1.11687,1.1225,0.0245109,0.194819,0,0.196355
101,1.30734,3.70927,0.278621,0.110997,0.44046,0,0.45423,0.00056,0.00445103,0,0.00448612,1.45214,1.00925,1.11076,0.0849029,0.336913,0,0.347447
102,1.24211,3.54815,0.409075,0.247995,0.577078,0,0.628108,0.00156,0.00739699,0,0.0075597,1.35573,0.79405,1.09148,0.199656,0.464595,0,0.505679
103,1.17816,3.39254,0.527639,0.400895,0.64604,0,0.760319,0.00305,0.0102452,0,0.0106896,1.25888,0.577859,1.06851,0.340272,0.548346,0,0.645344
104,1.10848,3.22018,0.638379,0.544733,0.659129,0,0.855093,0.00504,0.013005,0,0.0139474,1.15615,0.348541,1.043,0.491422,0.594622,0,0.771408
105,1.04139,3.05196,0.737434,0.663963,0.631773,0,0.916507,0.00752,0.0156539,0,0.0173665,1.05946,0.132728,1.01736,0.637577,0.606666,0,0.880084
106,0.980988,2.89855,0.823445,0.754211,0.581879,0,0.952585,0.01049,0.0181908,0,0.0209987,0.974419,-0.0571004,0.993304,0.768828,0.593156,0,0.971046
107,0.928538,2.76375,0.897243,0.818772,0.523188,0,0.971655,0.01395,0.0206147,0,0.0248911,0.902145,-0.218426,0.971576,0.881786,0.563453,0,1.04643
108,0.884076,2.64826,0.959778,0.863009,0.464038,0,0.979855,0.0179,0.0229257,0,0.029086,0.842101,-0.352453,0.952521,0.97617,0.524884,0,1.10834
