"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
91, 1.394999958600000e-02, -2.200789341210273e-02, -1.793817809024815e-01, 3.739103677650313e-01, 4.803286358822341e-01, -4.284848387607267e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.469555980903149e-02
92, 1.049000024800000e-02, -1.922675999640467e-02, -2.421847258337382e-01, 4.858783066478461e-01, 4.644064999363823e-01, -5.787540754256422e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.584037750214858e-02
93, 7.519999985000000e-03, -1.638077242306591e-02, -3.043117823903619e-01, 6.032190893685826e-01, 4.298796213904131e-01, -7.276686578545076e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.086995447179479e-02
94, 5.040000193000000e-03, -1.347422000275593e-02, -3.637608714301440e-01, 7.230013185594866e-01, 3.710935334256541e-01, -8.651745182225547e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.849776104169434e-02
95, 3.049999941000000e-03, -1.051117614649944e-02, -4.131728843913656e-01, 8.340911974258713e-01, 2.836663397565396e-01, -9.830303751987002e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.173437294297830e-02
96, 1.560000004000000e-03, -7.517093481486134e-03, -4.507407210492242e-01, 9.270184582981260e-01, 1.656272985342860e-01, -1.058929394163502e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.075196898187199e-03
97, 5.600000150000000e-04, -4.482379415102102e-03, -4.739462947114110e-01, 9.863357222974886e-01, 3.513954961898211e-02, -1.064704173302249e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.848183105846785e-04
98, 5.999999800000000e-05, -1.443399494746467e-03, -4.680764347292766e-01, 1.007907577052885e+00, -9.629018940199018e-02, -1.032498492065028e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.357957726516496e-02
99, 0.000000000000000e+00, 0.000000000000000e+00, -4.435661014849157e-01, 9.936420536203927e-01, -1.777451009024056e-01, -1.002908146143282e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.830268748478928e-02
100, 5.999999800000000e-05, 1.346320659978522e-03, -4.136942644478658e-01, 9.488466218088994e-01, -2.569430764142223e-01, -9.484502519784578e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.930988192924962e-02
101, 5.600000150000000e-04, 3.980019768707565e-03, -3.450973623318184e-01, 8.553083323505203e-01, -4.057965601835382e-01, -7.606816073597351e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.095043213584900e-01
102, 1.560000004000000e-03, 6.444783726633272e-03, -2.302010589309935e-01, 6.765952313039737e-01, -5.517225339520559e-01, -4.718581099900382e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.853759633319923e-01
103, 3.049999941000000e-03, 8.751459983355211e-03, -8.712159705986756e-02, 4.647156319237951e-01, -6.424240251228515e-01, -1.149340903365489e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.272087314848456e-01
104, 5.040000193000000e-03, 1.092873982318675e-02, 5.451825840463755e-02, 2.523551449858165e-01, -6.684857074141511e-01, 2.217341150713047e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.616262800028046e-01
105, 7.519999985000000e-03, 1.297249079584322e-02, 1.402272419892369e-01, 9.629510845632130e-02, -6.127500480563685e-01, 4.066837772448968e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.351442692333017e-02
106, 1.049000024800000e-02, 1.489205903767938e-02, 2.445677409999930e-01, -5.873831549960751e-02, -5.659253953999914e-01, 6.618514318127258e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.274130429951052e-01
107, 1.394999958600000e-02, 1.669487246170714e-02, 4.987740447580915e-01, -3.177150553808230e-01, -5.972233109114620e-01, 1.276538873298941e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.114297390077108e-01
108, 1.789999939500000e-02, 1.838756596747518e-02, 7.965524713956323e-01, -6.027333593849482e-01, -6.230732819168472e-01, 1.994142756612695e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.125947221035940e-01
