"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,         246,      -9.332587552,       -9.14295249,      -9.708807876,      -9.909647676
          0,           0,         247,      -9.350542793,      -9.147101605,      -9.717123579,      -9.908677566
          0,           0,         248,      -9.371950912,      -9.153809365,      -9.726994888,      -9.910518115
          0,           0,         249,      -9.396557668,      -9.163778346,      -9.739009578,      -9.916241543
          0,           0,         250,      -9.423870586,      -9.177406834,      -9.753617126,      -9.926513597
          0,           0,         251,       -9.45314191,      -9.194854404,       -9.77122495,      -9.941733803
          0,           0,         252,      -9.483401127,      -9.216115848,      -9.792235225,      -9.962285527
          0,           0,         253,      -9.513591286,      -9.241101401,      -9.817576143,      -9.989529107
          0,           0,         254,      -9.539154769,      -9.266953019,      -9.849610196,      -10.03017285
          0,           0,         255,       -9.56170855,      -9.295152828,      -9.861156849,      -10.04519379
          0,           0,         256,      -9.579954037,      -9.324386234,       -9.89163375,      -10.07963125
          0,           0,         257,      -9.595529797,      -9.354289184,      -9.918273404,      -10.11425048
          0,           0,         258,      -9.606202236,      -9.383339805,      -9.945648195,      -10.15313567
          0,           0,         259,      -9.614889105,      -9.410028536,        -9.9716747,      -10.18914995
          0,           0,         260,      -9.621710643,      -9.432647038,      -9.994687797,      -10.21858906
          0,           0,         261,      -9.628307147,      -9.450684473,      -10.01544995,      -10.24110667
          0,           0,         262,      -9.635891737,      -9.464396036,      -10.03206258,      -10.25672266
          0,           0,         263,      -9.645464377,      -9.474542467,      -10.04546778,      -10.26550467
          0,           0,         264,      -9.657888826,      -9.482479937,      -10.05705698,      -10.26910725
          0,           0,         265,      -9.673657026,      -9.489767229,      -10.06734318,      -10.27029431
          0,           0,         266,      -9.692937376,      -9.497740355,      -10.07736493,      -10.27146043
          0,           0,         267,      -9.715696878,      -9.507436901,      -10.08836394,      -10.27434175
          0,           0,         268,      -9.741746942,      -9.519656125,      -10.10113525,      -10.28023854
          0,           0,         269,      -9.770697616,      -9.534964342,      -10.11611482,      -10.29009737
          0,           0,         270,      -9.801890724,      -9.553689673,      -10.13368162,      -10.30457091
          0,           0,         271,      -9.834370632,      -9.575948963,      -10.15431524,      -10.32423084
          0,           0,         272,      -9.866857633,      -9.601647105,      -10.17899394,      -10.35045899
          0,           0,         273,      -9.894172215,      -9.627773804,      -10.20667224,       -10.3871549
          0,           0,         274,       -9.91891923,      -9.656161368,      -10.21621063,       -10.3998493
          0,           0,         275,      -9.940137865,      -9.686545965,      -10.24557155,      -10.43477718
          0,           0,         276,      -9.958297762,      -9.717909959,      -10.27298812,      -10.46949287
          0,           0,         277,      -9.970955498,      -9.748859112,      -10.29855978,      -10.50843238
          0,           0,         278,      -9.980121588,      -9.776880147,      -10.32327646,      -10.54398722
          0,           0,         279,      -9.986126545,      -9.800045809,      -10.34559757,      -10.57312815
          0,           0,         280,      -9.991055904,       -9.81776655,      -10.36486612,      -10.59545818
          0,           0,         281,      -9.996448139,      -9.830171491,      -10.37974658,      -10.61043219
          0,           0,         282,      -10.00350711,      -9.838076906,      -10.39145792,      -10.61796379
          0,           0,         283,      -10.01319837,      -9.843047312,      -10.40127822,       -10.6198465
          0,           0,         284,      -10.02607416,      -9.846879371,      -10.40980881,       -10.6189444
          0,           0,         285,      -10.04235739,      -9.851126812,      -10.41812664,      -10.61774704
          0,           0,         286,      -10.06207098,      -9.857004717,      -10.42742934,       -10.6181149
          0,           0,         287,      -10.08507904,      -9.865427525,      -10.43849552,      -10.62144174
          0,           0,         288,      -10.11104833,      -9.877018137,      -10.45177883,       -10.6287049
          0,           0,         289,      -10.13940128,       -9.89212833,       -10.4676584,      -10.64051816
          0,           0,         290,      -10.16930716,      -9.910893423,      -10.48651835,      -10.65727761
          0,           0,         291,      -10.19974074,      -9.933303737,      -10.50882333,      -10.67950714
          0,           0,         292,      -10.22959975,      -9.959233328,      -10.53627492,      -10.70988558
          0,           0,         293,      -10.25072028,      -9.982963572,      -10.55697784,      -10.73832836
          0,           0,         294,      -10.27356834,        -10.012876,      -10.57718437,      -10.76533036
          0,           0,         295,      -10.29055018,      -10.04131283,      -10.60814696,      -10.79773076
          0,           0,         296,      -10.30483677,      -10.07110082,      -10.63433406,      -10.83362871
          0,           0,         297,      -10.31524876,      -10.09976176,      -10.66001591,      -10.87248395
          0,           0,         298,      -10.32303593,      -10.12485502,      -10.68513876,       -10.9055842
          0,           0,         299,      -10.32937163,      -10.14550754,      -10.70720091,      -10.93194861
          0,           0,         300,      -10.33586848,      -10.16160314,      -10.72580216,      -10.95169318
          0,           0,         301,      -10.34367534,      -10.17349842,      -10.74081844,      -10.96442809
          0,           0,         302,      -10.35378588,      -10.18221547,      -10.75330843,      -10.97077748
          0,           0,         303,      -10.36696625,      -10.18928152,       -10.7641404,      -10.97295278
          0,           0,         304,       -10.3836078,      -10.19623697,      -10.77402603,      -10.97365062
          0,           0,         305,      -10.40382341,       -10.2043507,       -10.7841214,      -10.97504968
          0,           0,         306,      -10.42754681,        -10.214603,      -10.79552318,      -10.97874429
          0,           0,         307,      -10.45453744,       -10.2277199,      -10.80890557,      -10.98590401
          0,           0,         308,      -10.48432232,       -10.2441774,      -10.82468996,      -10.99734747
          0,           0,         309,      -10.51613923,      -10.26421539,      -10.84327951,      -11.01364965
          0,           0,         310,      -10.54892167,      -10.28787223,      -10.86522671,      -11.03546702
          0,           0,         311,      -10.58113774,      -10.31486869,      -10.89208277,      -11.06524641
          0,           0,         312,      -10.60437495,      -10.33942731,      -10.90880598,      -11.09161818
          0,           0,         313,      -10.63009098,      -10.37062909,      -10.92816287,      -11.11688487
          0,           0,         314,      -10.64984025,      -10.40071874,      -10.95938416,      -11.14998231
          0,           0,         315,      -10.66643377,      -10.43252868,      -10.98570321,      -11.18657164
          0,           0,         316,      -10.67802202,      -10.46301136,      -11.01080165,      -11.22590388
          0,           0,         317,      -10.68564567,      -10.48912069,      -11.03572786,      -11.25890509
          0,           0,         318,      -10.69081382,      -10.50990883,      -11.05739169,      -11.28515489
          0,           0,         319,      -10.69551623,      -10.52521553,      -11.07494345,      -11.30458692
          0,           0,         320,      -10.70114946,      -10.53540892,      -11.08861541,      -11.31646645
          0,           0,         321,      -10.70888911,      -10.54171092,      -11.09960273,      -11.32143099
          0,           0,         322,      -10.71959229,      -10.54591435,      -11.10877617,      -11.32188652
          0,           0,         323,      -10.73369197,      -10.54977734,      -11.11695918,      -11.32066183
          0,           0,         324,      -10.75133414,      -10.55472191,      -11.12539102,      -11.32001597
          0,           0,         325,      -10.77248644,      -10.56182507,      -11.13518082,      -11.32160877
          0,           0,         326,      -10.79694366,      -10.57185809,      -11.14700032,      -11.32664378
          0,           0,         327,      -10.82427885,      -10.58530585,      -11.16127119,      -11.33592742
          0,           0,         328,      -10.85380334,      -10.60240364,      -11.17836782,      -11.34995771
          0,           0,         329,      -10.88457263,      -10.62319659,      -11.19867612,      -11.36911546
