"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         231,       -5.65838706,      -3.289039041,      -4.426097569,      -1.330484808
          0,           0,         232,      -5.663199415,      -3.296114872,      -4.432544578,      -1.331280571
          0,           0,         233,      -5.665319783,       -3.29974694,      -4.439564932,      -1.341531567
          0,           0,         234,      -5.670085563,      -3.306894108,      -4.445963513,      -1.341975548
          0,           0,         235,      -5.672194308,        -3.3105831,      -4.453173508,      -1.352403411
          0,           0,         236,      -5.676915603,      -3.317805466,      -4.459522466,      -1.352490534
          0,           0,         237,      -5.679014293,      -3.321554336,      -4.466914451,      -1.363112807
          0,           0,         238,      -5.683693228,      -3.328855097,      -4.473211862,      -1.362841477
          0,           0,         239,      -5.685783422,      -3.332666291,       -4.48077615,      -1.373678064
          0,           0,         240,      -5.690422145,      -3.340047964,      -4.487019947,      -1.373050405
          0,           0,         241,      -5.692505377,      -3.343923411,      -4.494745471,      -1.384122768
          0,           0,         242,      -5.697106031,      -3.351387834,       -4.50093395,      -1.383144655
          0,           0,         243,      -5.699183784,      -3.355328941,      -4.508808739,      -1.394475014
          0,           0,         244,      -5.703748503,      -3.362877266,      -4.514941016,       -1.39315597
          0,           0,         245,      -5.705822203,       -3.36688491,      -4.522952751,      -1.404766395
          0,           0,         246,       -5.71035309,        -3.3745176,      -4.529029193,      -1.403119316
          0,           0,         247,      -5.712424094,      -3.378592135,      -4.537165608,      -1.415030956
          0,           0,         248,      -5.716923207,      -3.386308981,      -4.543188074,      -1.413071736
          0,           0,         249,      -5.718992789,      -3.390450245,      -4.551437274,      -1.425304072
          0,           0,         250,      -5.723462139,      -3.398250367,      -4.557409192,      -1.423051232
          0,           0,         251,      -5.725531491,      -3.402457698,      -4.565759827,      -1.435621542
          0,           0,         252,      -5.729973029,      -3.410339565,      -4.571686214,      -1.433095787
          0,           0,         253,      -5.732043257,      -3.414611816,      -4.580127601,      -1.446018676
          0,           0,         254,       -5.73645887,      -3.422573266,      -4.586014891,      -1.443242478
          0,           0,         255,      -5.738530996,      -3.426908836,      -4.594536974,       -1.45652963
          0,           0,         256,      -5.742922513,      -3.434947104,      -4.600392703,      -1.453526886
          0,           0,         257,      -5.744997484,      -3.439343974,      -4.608986034,      -1.467186925
          0,           0,         258,       -5.74936667,       -3.44745573,      -4.614818594,      -1.463982598
          0,           0,         259,      -5.751445362,      -3.451911499,      -4.623474186,      -1.478020979
          0,           0,         260,      -5.755793924,      -3.460092889,      -4.629292445,      -1.474640805
          0,           0,         261,      -5.757877153,      -3.464604822,      -4.638001675,      -1.489059917
          0,           0,         262,      -5.762206747,      -3.472851515,      -4.643814614,      -1.485530188
          0,           0,         263,      -5.764295278,        -3.4774166,      -4.652569069,      -1.500329441
          0,           0,         264,      -5.768607513,      -3.485723853,      -4.658385479,      -1.496676768
          0,           0,         265,      -5.770702071,      -3.490338853,      -4.667176888,      -1.511852755
          0,           0,         266,      -5.774998518,      -3.498701575,      -4.673005065,      -1.508103889
          0,           0,         267,      -5.777099797,      -3.503363099,      -4.681825185,      -1.523650548
          0,           0,         268,       -5.78138199,      -3.511775918,        -4.6876727,      -1.519832172
          0,           0,         269,      -5.783490668,      -3.516480486,      -4.696513349,      -1.535740977
          0,           0,         270,      -5.787760115,      -3.524937835,      -4.702386815,      -1.531879517
          0,           0,         271,      -5.789876856,      -3.529681946,      -4.711239921,      -1.548139614
          0,           0,         272,      -5.794135038,      -3.538178139,      -4.717144953,      -1.544260982
          0,           0,         273,      -5.796260505,      -3.542958341,      -4.726002633,      -1.560859342
          0,           0,         274,      -5.800508884,      -3.551487662,       -4.73194368,      -1.556988702
          0,           0,         275,      -5.802643745,      -3.556300624,      -4.740798399,       -1.57391024
          0,           0,         276,      -5.806883764,      -3.564857412,      -4.746778688,      -1.570071761
          0,           0,         277,      -5.809028697,      -3.569699993,      -4.755623466,      -1.587299477
          0,           0,         278,      -5.813261782,      -3.578278731,       -4.76164489,      -1.583516036
          0,           0,         279,      -5.815417477,      -3.583148029,      -4.770473455,      -1.601031026
          0,           0,         280,      -5.819645037,      -3.591743421,       -4.77653668,      -1.597323888
          0,           0,         281,      -5.821812198,      -3.596636837,      -4.785343627,      -1.615105538
          0,           0,         282,      -5.826035625,      -3.605243894,      -4.791447787,      -1.611494108
          0,           0,         283,       -5.82821497,      -3.610159177,      -4.800228782,       -1.62952009
          0,           0,         284,      -5.832435636,      -3.618773284,      -4.806371493,      -1.626021542
          0,           0,         285,      -5.834627895,      -3.623708571,      -4.815123413,      -1.644267912
          0,           0,         286,      -5.838847154,      -3.632325554,      -4.821300647,      -1.640896928
          0,           0,         287,      -5.841053066,      -3.637279395,      -4.830021672,      -1.659338242
          0,           0,         288,      -5.845272246,      -3.645895577,       -4.83622764,      -1.656106745
          0,           0,         289,      -5.847492557,       -3.65086696,      -4.844917317,      -1.674716191
          0,           0,         290,      -5.851712961,      -3.659479201,      -4.851144375,      -1.671633106
          0,           0,         291,      -5.853948423,      -3.664467559,      -4.859803652,      -1.690382681
          0,           0,         292,      -5.858171323,      -3.673073288,       -4.86604224,      -1.687453714
          0,           0,         293,      -5.860422688,      -3.678078497,      -4.874673489,      -1.706314427
          0,           0,         294,      -5.864649327,      -3.686675732,      -4.880912141,      -1.703541919
          0,           0,         295,      -5.866917348,      -3.691698102,      -4.889519123,       -1.72248406
          0,           0,         296,      -5.871148933,      -3.700285452,       -4.89574451,      -1.719866851
          0,           0,         297,       -5.87343435,      -3.705325704,       -4.90433236,      -1.738860285
          0,           0,         298,      -5.877672052,      -3.713902358,      -4.910529442,      -1.736393638
          0,           0,         299,      -5.879975602,      -3.718961591,      -4.919104611,       -1.75540816
          0,           0,         300,      -5.884220552,      -3.727527299,      -4.925256891,      -1.753083751
          0,           0,         301,       -5.88654296,       -3.73260695,      -4.933827078,      -1.772089492
          0,           0,         302,      -5.890796248,       -3.74116199,      -4.939916878,      -1.769895437
          0,           0,         303,      -5.893138224,       -3.74626379,      -4.948490977,      -1.788863284
