"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         184,      -4.495681878,      -1.721541561,      -1.543184979,      -1.554547486,      0.9800720819
          0,           0,         185,      -4.492132657,      -1.703259534,      -1.551669301,      -1.562675171,      0.9850165815
          0,           0,         186,      -4.490705507,      -1.688212618,      -1.560150344,      -1.570388801,      0.9876828802
          0,           0,         187,      -4.491677532,      -1.676731262,      -1.568667576,      -1.577755042,      0.9877713838
          0,           0,         188,      -4.495196931,      -1.668928163,      -1.577264133,      -1.584858041,      0.9851183595
          0,           0,         189,      -4.501306781,      -1.664794687,      -1.585984536,      -1.591792031,      0.9796674873
          0,           0,         190,      -4.509955342,       -1.66426255,       -1.59486679,      -1.598654115,       0.971457522
          0,           0,         191,      -4.521004159,      -1.667230059,      -1.603938965,      -1.605536902,      0.9606135434
          0,           0,         192,      -4.534235036,      -1.673576133,      -1.613213208,        -1.6125262,       0.947340983
          0,           0,         193,      -4.549339449,      -1.683163662,      -1.622684867,      -1.619694398,      0.9319375319
          0,           0,         194,      -4.565922037,      -1.695831994,      -1.632328837,       -1.62709788,      0.9147951136
          0,           0,         195,      -4.583492649,      -1.711374558,      -1.642081899,      -1.634754053,      0.8964136551
          0,           0,         196,      -4.601481846,        -1.7295272,      -1.651823573,      -1.642621314,      0.8773931207
          0,           0,         197,      -4.619239213,      -1.749948401,      -1.661402535,      -1.650622588,      0.8584374736
          0,           0,         198,      -4.636058851,      -1.772173572,      -1.670662193,      -1.658671776,      0.8403329211
          0,           0,         199,      -4.651253562,      -1.795559617,      -1.679443804,      -1.666674329,      0.8238740606
          0,           0,         200,      -4.664205963,      -1.819226623,      -1.687593604,      -1.674524872,      0.8097999223
          0,           0,         201,      -4.674433487,      -1.842025615,      -1.694971258,      -1.682110899,      0.7987106002
          0,           0,         202,      -4.681633833,       -1.86256369,      -1.701463272,      -1.689316452,      0.7909959665
          0,           0,         203,      -4.685732977,       -1.87932467,       -1.70699938,      -1.696034979,      0.7867688831
          0,           0,         204,      -4.686909387,      -1.890918081,      -1.711567238,       -1.70218989,      0.7858354001
          0,           0,         205,      -4.685584335,      -1.896405748,       -1.71522705,      -1.707752694,      0.7877131883
          0,           0,         206,       -4.68236617,      -1.895590643,      -1.718112676,      -1.712750199,      0.7917058815
          0,           0,         207,      -4.677961648,      -1.889098573,      -1.720417765,      -1.717260025,      0.7970123004
          0,           0,         208,      -4.673082045,      -1.878199061,      -1.722372959,      -1.721395931,      0.8028364488
          0,           0,         209,      -4.668370452,      -1.864462326,      -1.724221457,       -1.72529095,      0.8084681972
          0,           0,         210,      -4.664363019,      -1.849428732,      -1.726197912,      -1.729084273,      0.8133227884
          0,           0,         211,       -4.66147824,      -1.834410674,      -1.728515131,      -1.732913676,      0.8169495211
          0,           0,         212,      -4.660019006,      -1.820413905,      -1.731356971,        -1.7369055,      0.8190260156
          0,           0,         213,      -4.660184628,      -1.808146927,      -1.734867863,      -1.741169995,        0.81934242
          0,           0,         214,      -4.662082137,      -1.798068085,      -1.739149582,      -1.745796937,      0.8177862986
          0,           0,         215,      -4.665747308,      -1.790443184,      -1.744263829,      -1.750854541,      0.8143206843
          0,           0,         216,      -4.671159038,      -1.785400696,      -1.750233322,      -1.756388218,      0.8089677384
          0,           0,         217,      -4.678246829,       -1.78297312,      -1.757046676,      -1.762423862,      0.8018005027
          0,           0,         218,      -4.686894339,      -1.783126408,      -1.764661682,       -1.76896907,      0.7929390301
          0,           0,         219,      -4.696944928,       -1.78578164,      -1.773011038,      -1.776015674,      0.7825458607
          0,           0,         220,      -4.708196082,      -1.790830932,      -1.782006527,      -1.783542828,      0.7708317452
          0,           0,         221,       -4.72039587,      -1.798135062,      -1.791543188,      -1.791517882,      0.7580598382
          0,           0,         222,      -4.733238874,         -1.807527,      -1.801502622,       -1.79989846,      0.7445522004
          0,           0,         223,      -4.746371535,      -1.818809613,      -1.811757285,      -1.808632457,      0.7306862702
          0,           0,         224,      -4.759404281,      -1.831749462,      -1.822172562,      -1.817658474,      0.7168849273
          0,           0,         225,       -4.77193066,      -1.846072345,      -1.832602927,      -1.826899125,      0.7035981489
          0,           0,         226,      -4.783539049,      -1.861458418,      -1.842893504,      -1.836255726,      0.6912897427
          0,           0,         227,      -4.793817674,      -1.877533302,      -1.852888815,      -1.845611795,       0.680427177
          0,           0,         228,      -4.802378281,       -1.89385876,      -1.862437489,       -1.85483703,      0.6714513797
          0,           0,         229,      -4.808886454,      -1.909935844,      -1.871395866,      -1.863789627,      0.6647391253
          0,           0,         230,      -4.813095902,      -1.925218996,      -1.879634545,       -1.87232207,      0.6605618677
          0,           0,         231,       -4.81490432,      -1.939148972,      -1.887051748,      -1.880295099,      0.6590257589
          0,           0,         232,      -4.814409584,      -1.951202795,      -1.893586425,      -1.887593591,      0.6600159284
          0,           0,         233,      -4.811934757,      -1.960963059,      -1.899226082,      -1.894139396,      0.6631746243
          0,           0,         234,       -4.80799854,      -1.968187529,      -1.904007179,      -1.899894508,      0.6679373954
          0,           0,         235,      -4.803235103,       -1.97286041,      -1.908007742,      -1.904860065,      0.6736199137
          0,           0,         236,      -4.798302213,      -1.975204181,      -1.911338174,      -1.909072805,      0.6795163018
          0,           0,         237,      -4.793817043,      -1.975648475,      -1.914133249,       -1.91260266,      0.6849674493
          0,           0,         238,      -4.790318816,      -1.974766411,      -1.916545613,       -1.91555057,      0.6894001629
          0,           0,         239,      -4.788247848,      -1.973195521,      -1.918738219,      -1.918045298,       0.692347135
          0,           0,         240,      -4.787938272,      -1.971565408,      -1.920877324,       -1.92023802,      0.6934524277
          0,           0,         241,      -4.789626421,      -1.970446477,      -1.923126079,      -1.922294863,      0.6924615891
          0,           0,         242,       -4.79345231,      -1.970320933,      -1.925638163,      -1.924388891,      0.6892179166
          0,           0,         243,      -4.799474493,      -1.971575248,      -1.928553622,      -1.926691603,      0.6836470061
          0,           0,         244,      -4.807681624,      -1.974503825,      -1.931994694,      -1.929363924,       0.675745041
          0,           0,         245,      -4.818004415,      -1.979323946,      -1.936062628,      -1.932550349,      0.6655670425
          0,           0,         246,      -4.830321807,      -1.986187924,      -1.940833347,      -1.936374822,      0.6532213633
          0,           0,         247,      -4.844458049,      -1.995193769,       -1.94635702,      -1.940935241,      0.6388729892
          0,           0,         248,      -4.860182457,      -2.006395222,      -1.952657427,      -1.946302507,      0.6227453419
          0,           0,         249,      -4.877202009,      -2.019804204,       -1.95973211,      -1.952520886,      0.6051296834
          0,           0,         250,      -4.895156623,      -2.035386488,      -1.967551832,      -1.959607048,      0.5863927959
          0,           0,         251,      -4.913619587,      -2.053049251,      -1.976050471,      -1.967539124,      0.5669808345
          0,           0,         252,      -4.932102421,      -2.072634905,       -1.98510693,      -1.976238777,      0.5474174469
          0,           0,         253,      -4.950072472,       -2.09391091,      -1.994560466,      -1.985582512,      0.5282876592
          0,           0,         254,      -4.966982727,      -2.116550727,      -2.004237292,      -1.995424467,      0.5102080731
          0,           0,         255,      -4.982299512,      -2.140096384,      -2.013948289,      -2.005596495,      0.4937949066
          0,           0,         256,      -4.995534232,      -2.163923387,      -2.023489446,      -2.015905779,      0.4796221776
          0,           0,         257,      -5.006279327,      -2.187217463,      -2.032653491,      -2.026141028,      0.4681721517
          0,           0,         258,      -5.014247319,      -2.208974659,      -2.041245067,      -2.036085018,      0.4597830438
          0,           0,         259,      -5.019321834,      -2.228055082,      -2.049101566,      -2.045532521,      0.4545893119
          0,           0,         260,      -5.021607479,      -2.243317346,      -2.056112766,      -2.054310127,      0.4524710937
          0,           0,         261,      -5.021445826,      -2.253829428,      -2.062233834,      -2.062292563,      0.4530440029
          0,           0,         262,       -5.01936653,      -2.259099054,      -2.067488699,      -2.069410495,      0.4557176279
          0,           0,         263,      -5.016007468,      -2.259220762,      -2.071964266,       -2.07565175,      0.4597876592
          0,           0,         264,      -5.012037875,      -2.254866172,      -2.075800285,       -2.08105848,      0.4645232256
          0,           0,         265,      -5.008096866,      -2.247125306,       -2.07917352,      -2.085721823,      0.4692348594
          0,           0,         266,      -5.004748953,      -2.237265395,      -2.082281356,      -2.089771895,      0.4733205708
          0,           0,         267,      -5.002462837,      -2.226515153,      -2.085326383,       -2.09336708,       0.476285277
          0,           0,         268,      -5.001601636,      -2.215930712,      -2.088504463,      -2.096681917,      0.4777478695
          0,           0,         269,       -5.00243202,      -2.206345111,      -2.091992028,      -2.099895237,      0.4774295926
          0,           0,         270,      -5.005135611,      -2.198372137,      -2.095940327,      -2.103181757,      0.4751403097
          0,           0,         271,      -5.009825606,      -2.192439859,      -2.100472459,      -2.106703931,      0.4707605356
          0,           0,         272,      -5.016565446,      -2.188835366,      -2.105682207,      -2.110607603,      0.4642220805
          0,           0,         273,      -5.025374572,      -2.187742251,       -2.11163486,      -2.115017391,      0.4555011299
          0,           0,         274,      -5.036236577,      -2.189266708,      -2.118368425,      -2.120036489,      0.4446097146
          0,           0,         275,      -5.049093606,      -2.193465353,      -2.125894057,      -2.125744611,      0.4316006634
          0,           0,         276,      -5.063844546,      -2.200353537,      -2.134201211,      -2.132200631,      0.4165694884
          0,           0,         277,      -5.080332829,       -2.20991002,      -2.143258254,       -2.13944251,       0.399666912
          0,           0,         278,      -5.098342926,      -2.222074591,      -2.153008045,       -2.14748169,      0.3811044169
          0,           0,         279,      -5.117597051,      -2.236746629,      -2.163361808,      -2.156294998,      0.3611606438
