"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         188,      -14.06877355,      -13.92926602,      -14.16118071
          0,           0,         189,       -14.0691169,      -13.94700073,      -14.17224756
          0,           0,         190,       -14.1053691,        -13.990225,      -14.22200043
          0,           0,         191,      -14.13272796,      -14.00841011,      -14.19929037
          0,           0,         192,      -14.03308225,      -13.90385954,       -14.1243338
          0,           0,         193,        -13.992455,      -13.86303391,       -14.0867252
          0,           0,         194,      -14.05295371,      -13.94052318,      -14.16433718
          0,           0,         195,      -14.00248815,      -13.89041058,      -14.10489479
          0,           0,         196,      -14.03001512,      -13.89880457,      -14.18220869
          0,           0,         197,      -14.07839054,      -13.93791914,      -14.19592897
          0,           0,         198,      -14.02496185,      -13.90322722,      -14.11364424
          0,           0,         199,      -14.09718573,      -13.98219547,      -14.20567755
          0,           0,         200,      -14.05568515,      -13.94539973,      -14.14943542
          0,           0,         201,      -14.03530495,      -13.92881447,      -14.12457134
          0,           0,         202,      -14.11236697,      -13.98118029,      -14.20912937
          0,           0,         203,      -14.02698056,      -13.89357235,       -14.1135004
          0,           0,         204,      -14.08077186,      -13.95343054,      -14.16001801
          0,           0,         205,      -13.99427656,      -13.85765852,      -14.11529692
          0,           0,         206,       -14.0279618,      -13.89898607,      -14.15824513
          0,           0,         207,      -14.01829043,      -13.88715232,      -14.12674803
          0,           0,         208,      -14.05267556,      -13.93452376,      -14.17703989
          0,           0,         209,      -14.06200707,      -13.95283288,      -14.14254284
          0,           0,         210,      -14.12454767,      -13.99937135,        -14.219703
          0,           0,         211,      -13.95927374,      -13.83598801,      -14.11521434
          0,           0,         212,      -14.20128588,      -14.09620741,      -14.35805718
          0,           0,         213,      -14.05414865,      -13.92496382,      -14.12083552
          0,           0,         214,       -14.0316494,      -13.89095541,      -14.11635138
          0,           0,         215,      -14.06464799,      -13.92989233,      -14.23127006
          0,           0,         216,      -14.07326226,      -13.95548119,      -14.19634225
          0,           0,         217,      -14.03938178,      -13.91445984,      -14.13412603
          0,           0,         218,      -14.03064199,      -13.91856782,      -14.12473815
          0,           0,         219,      -14.03792082,      -13.90751272,      -14.11914586
          0,           0,         220,      -14.04306113,      -13.90117946,        -14.150102
          0,           0,         221,      -14.04490967,       -13.9211433,      -14.19828174
          0,           0,         222,      -13.98437481,      -13.83921931,      -14.08184155
          0,           0,         223,      -14.06238007,      -13.95861401,      -14.20340541
          0,           0,         224,      -14.00944956,      -13.89720474,      -14.11509535
          0,           0,         225,      -14.03264868,      -13.90448505,      -14.13089488
          0,           0,         226,      -14.06510443,      -13.93135688,       -14.1596483
          0,           0,         227,      -14.04961442,        -13.915557,      -14.12922618
          0,           0,         228,      -14.02305217,      -13.88191606,      -14.15024907
          0,           0,         229,      -14.04279628,      -13.91518689,      -14.16183831
          0,           0,         230,      -14.05556472,      -13.93449781,      -14.16046973
          0,           0,         231,      -13.94264959,      -13.81913055,       -14.0629052
          0,           0,         232,      -14.11730112,      -14.00913409,      -14.19416859
          0,           0,         233,      -14.10419627,      -13.95263119,      -14.18367104
          0,           0,         234,      -13.99290166,      -13.86773511,      -14.10902519
          0,           0,         235,      -14.11680255,      -14.01264598,      -14.22608271
          0,           0,         236,      -14.10572267,      -14.00348814,      -14.11270818
          0,           0,         237,      -14.09329167,      -13.96162221,      -14.20741468
          0,           0,         238,      -14.02321658,      -13.90499352,      -14.17560386
          0,           0,         239,      -14.09793744,      -13.98331977,      -14.15372502
          0,           0,         240,      -14.03270174,      -13.88982836,      -14.12955872
          0,           0,         241,      -14.06483235,      -13.94093625,      -14.21981088
          0,           0,         242,      -14.05088537,      -13.92597115,      -14.17574944
          0,           0,         243,      -14.16451843,      -14.05251978,      -14.19837983
          0,           0,         244,      -13.95624203,      -13.82923087,      -14.10508333
          0,           0,         245,      -14.02113343,      -13.89455646,      -14.12220451
          0,           0,         246,      -14.10508196,      -13.98315151,         -14.22805
          0,           0,         247,       -14.0477507,      -13.92386947,      -14.10773015
          0,           0,         248,      -13.99076918,      -13.86981218,      -14.14944976
          0,           0,         249,      -14.05203803,      -13.92584404,      -14.11325293
          0,           0,         250,      -14.08206389,      -13.94358513,      -14.15901456
          0,           0,         251,      -13.99850818,      -13.88805199,      -14.20813573
          0,           0,         252,       -14.0717477,      -13.95275785,      -14.15313079
          0,           0,         253,      -13.98368434,      -13.85093036,      -14.05416292
          0,           0,         254,      -14.01571427,      -13.88604062,        -14.149115
          0,           0,         255,      -14.12239026,      -14.00533789,      -14.23932177
          0,           0,         256,      -14.07384691,      -13.94007087,      -14.16124006
          0,           0,         257,      -14.05564029,      -13.92480822,      -14.15022846
          0,           0,         258,      -14.12835291,      -14.03515483,      -14.19541882
          0,           0,         259,      -14.02403287,      -13.91753633,      -14.11077545
          0,           0,         260,      -14.03481962,       -13.9194551,      -14.17775345
          0,           0,         261,      -14.07797811,      -13.93469472,       -14.2026103
          0,           0,         262,      -13.99102823,       -13.8588056,      -14.12521426
          0,           0,         263,      -13.97273285,      -13.84059323,      -14.18829304
          0,           0,         264,      -14.04883899,      -13.93051988,      -14.18803491
          0,           0,         265,      -14.07095654,      -13.93560062,      -14.15397581
          0,           0,         266,      -13.98668727,       -13.8754056,      -14.11854903
          0,           0,         267,      -14.11451549,      -14.00205222,      -14.22032743
          0,           0,         268,      -14.04785345,      -13.93665913,       -14.1651852
          0,           0,         269,      -14.08402497,      -13.95295542,      -14.19734344
          0,           0,         270,      -14.00279626,      -13.86730744,      -14.17617129
          0,           0,         271,      -14.05224179,      -13.92290925,      -14.12360178
          0,           0,         272,      -14.07604881,      -13.95458516,      -14.19508559
          0,           0,         273,      -13.99968059,      -13.87851422,      -14.15450166
          0,           0,         274,      -14.05573102,      -13.93269608,      -14.17349061
          0,           0,         275,      -14.02433038,       -13.8934206,      -14.13542532
