"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
60, 3.261100053790000e-01, -5.632829911790147e-02, 1.172816014168895e-01, -4.833329473541208e-02, -3.292386307167362e-02, 2.862849966852970e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.082063681747445e-03
61, 3.113999962810000e-01, -5.657458856643913e-02, 1.234574871957300e-01, -5.510987790290933e-02, -2.749065023321164e-02, 3.021723106761583e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.865628170717363e-02
62, 2.968699932100000e-01, -5.673858347585494e-02, 1.269729369822452e-01, -5.904064751077601e-02, -2.164269250189618e-02, 3.113735901664327e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.352907351971432e-02
63, 2.825500071050000e-01, -5.681760016223002e-02, 1.295939834606294e-01, -6.193224301395044e-02, -1.541780748198865e-02, 3.181938558554791e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.114064330906234e-02
64, 2.684499919410000e-01, -5.680939359699615e-02, 1.346523150341478e-01, -6.701157974463628e-02, -9.021901100103428e-03, 3.310617525317879e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.613361817395523e-02
65, 2.545700073240000e-01, -5.671167568246185e-02, 1.450566751838915e-01, -7.712171874923542e-02, -2.125654354598081e-03, 3.580897310498841e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.059076459937534e-02
66, 2.409400045870000e-01, -5.652246980679816e-02, 1.624624056703933e-01, -9.384282150988042e-02, 5.608971180125205e-03, 4.027505142822112e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.561055115254437e-02
67, 2.275699973110000e-01, -5.623995104841958e-02, 1.869830985848704e-01, -1.173519988853948e-01, 1.436465518348374e-02, 4.656685466633813e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.884795145143135e-02
68, 2.144699990750000e-01, -5.586240541167669e-02, 2.191924222037881e-01, -1.481710011187334e-01, 2.416144710651451e-02, 5.476101713312283e-02, 0.000000000000000e+00, 0.000000000000000e+00, -7.152300811848256e-02
69, 2.016600072380000e-01, -5.538864985665921e-02, 2.598806853260099e-01, -1.870474515940153e-01, 3.543043465028791e-02, 6.510097205789833e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.674133301738571e-02
70, 1.891400069000000e-01, -5.481697992471221e-02, 3.088213888139048e-01, -2.336853504478116e-01, 4.880789838260185e-02, 7.739998973803665e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.866231441817322e-02
71, 1.769299954180000e-01, -5.414666960873562e-02, 3.602102963532839e-01, -2.824590001408203e-01, 6.461385574009584e-02, 9.013775802658804e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.340190609521222e-02
