"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         146,      -9.562896323,      -9.332111759,      -9.845695529,      -8.840155373
          0,           0,         147,      -9.679769602,       -9.40003099,      -9.914234021,       -8.95715901
          0,           0,         148,      -9.774347093,      -9.466103344,      -9.975439821,      -9.050623094
          0,           0,         149,      -9.825190212,      -9.526316404,      -10.02643527,      -9.115044278
          0,           0,         150,      -9.830290446,      -9.582835904,      -10.07597038,      -9.124016635
          0,           0,         151,      -9.824240258,      -9.632124024,      -10.11619026,      -9.126629997
          0,           0,         152,      -9.793519582,      -9.674803801,      -10.14758067,      -9.092152411
          0,           0,         153,      -9.776652072,       -9.71234454,      -10.17121692,      -9.081236062
          0,           0,         154,      -9.743629028,      -9.740186471,      -10.18395708,      -9.043047178
          0,           0,         155,      -9.729622181,      -9.766647217,      -10.19428185,      -9.034264035
          0,           0,         156,      -9.702127242,      -9.782086338,      -10.19506767,      -9.001336419
          0,           0,         157,      -9.693740255,      -9.800893428,      -10.19889841,      -8.997906215
          0,           0,         158,      -9.673427622,      -9.808423715,      -10.19581806,      -8.972143342
          0,           0,         159,      -9.665695893,      -9.819918796,      -10.17822869,      -8.969348272
          0,           0,         160,      -9.643941145,      -9.821647805,      -10.17898783,      -8.942794752
          0,           0,         161,      -9.639411598,      -9.829781956,      -10.16978656,      -8.943068526
          0,           0,         162,      -9.624687734,      -9.827411746,       -10.1740796,      -8.923143643
          0,           0,         163,       -9.61759694,      -9.824141906,      -10.16633465,      -8.912716647
          0,           0,         164,      -9.602841356,      -9.812281901,       -10.1614686,      -8.891917769
          0,           0,         165,      -9.619110258,      -9.824874462,       -10.1721917,      -8.917526221
          0,           0,         166,      -9.633367176,      -9.829923079,      -10.19632214,      -8.928815972
          0,           0,         167,      -9.647539268,      -9.832468875,      -10.20854336,      -8.935134303
          0,           0,         168,      -9.683217619,       -9.85606974,      -10.23731017,      -8.978664267
          0,           0,         169,      -9.716271673,      -9.875050784,      -10.27154818,      -9.009608917
          0,           0,         170,      -9.746072197,      -9.893305407,      -10.30520749,      -9.032448901
          0,           0,         171,      -9.792341909,      -9.926044656,      -10.33860551,      -9.085647635
          0,           0,         172,      -9.833338533,      -9.956736068,      -10.38497203,      -9.125322668
          0,           0,         173,      -9.870580344,      -9.985850279,      -10.42248203,      -9.156139166
          0,           0,         174,      -9.920642981,      -10.02580445,       -10.4630919,      -9.212893011
          0,           0,         175,      -9.965571556,      -10.06399744,      -10.50941756,      -9.256552251
          0,           0,         176,      -10.00461736,      -10.10041931,      -10.55334495,      -9.289640518
          0,           0,         177,      -10.05670963,      -10.14467022,      -10.59389987,       -9.34826495
          0,           0,         178,      -10.10410507,      -10.18801438,      -10.64556615,      -9.394479685
          0,           0,         179,      -10.14883226,      -10.22932974,      -10.69159919,      -9.433104019
          0,           0,         180,      -10.20545261,       -10.2773006,      -10.73752157,      -9.496117703
          0,           0,         181,      -10.26022001,      -10.32426987,      -10.79224128,       -9.54959419
          0,           0,         182,      -10.31458143,      -10.37106373,      -10.84658501,       -9.59789796
          0,           0,         183,      -10.38046448,      -10.42220825,      -10.89623349,      -9.669413113
          0,           0,         184,      -10.44591662,      -10.47430927,      -10.95748775,      -9.733724608
          0,           0,         185,      -10.51480813,      -10.52661594,      -11.02054413,      -9.796629381
          0,           0,         186,      -10.59324729,      -10.58293984,      -11.07614893,      -9.879696434
          0,           0,         187,      -10.67702923,      -10.64118891,       -11.1440464,      -9.962192535
          0,           0,         188,      -10.77169602,      -10.70281935,      -11.21518714,      -10.05070872
          0,           0,         189,      -10.87229299,      -10.76441395,      -11.27419794,      -10.15397928
