"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         279,      -2.474671417,      -2.457508261,      -2.984659958
          0,           0,         280,      -2.474672362,      -2.457508227,      -2.984662297
          0,           0,         281,      -2.474669573,      -2.457506626,      -2.984664059
          0,           0,         282,      -2.474675205,      -2.457510202,      -2.984643803
          0,           0,         283,      -2.474676105,      -2.457512103,      -2.984631923
          0,           0,         284,      -2.474666458,      -2.457505399,      -2.984637384
          0,           0,         285,      -2.474667132,      -2.457504909,      -2.984626675
          0,           0,         286,      -2.474671505,       -2.45750842,      -2.984610099
          0,           0,         287,      -2.474665022,      -2.457504649,       -2.98461179
          0,           0,         288,      -2.474668599,      -2.457506319,      -2.984596818
          0,           0,         289,      -2.474671868,       -2.45750847,      -2.984586713
          0,           0,         290,      -2.474661912,      -2.457503158,      -2.984583064
          0,           0,         291,      -2.474664399,      -2.457503198,      -2.984572979
          0,           0,         292,      -2.474659429,      -2.457501991,      -2.984560346
          0,           0,         293,      -2.474660882,      -2.457502273,       -2.98455447
          0,           0,         294,      -2.474659945,      -2.457501807,      -2.984553474
          0,           0,         295,      -2.474663333,      -2.457503307,      -2.984551022
          0,           0,         296,      -2.474661424,      -2.457501602,      -2.984557103
          0,           0,         297,      -2.474659024,      -2.457500726,      -2.984550732
          0,           0,         298,       -2.47466001,      -2.457501374,      -2.984547143
          0,           0,         299,      -2.474663587,      -2.457503474,      -2.984543381
          0,           0,         300,        -2.4746606,      -2.457502012,      -2.984544941
          0,           0,         301,      -2.474660784,      -2.457502177,      -2.984540568
          0,           0,         302,      -2.474659072,      -2.457501582,      -2.984537816
          0,           0,         303,      -2.474659591,      -2.457501177,      -2.984539154
          0,           0,         304,       -2.47465996,      -2.457501566,       -2.98453852
          0,           0,         305,       -2.47465982,      -2.457501643,      -2.984537726
          0,           0,         306,      -2.474662915,      -2.457503607,      -2.984533461
          0,           0,         307,      -2.474658153,      -2.457501205,      -2.984532449
          0,           0,         308,      -2.474658755,      -2.457501041,      -2.984528579
          0,           0,         309,      -2.474658724,      -2.457501756,       -2.98452355
          0,           0,         310,      -2.474656686,      -2.457500596,      -2.984522116
          0,           0,         311,      -2.474658877,      -2.457501196,      -2.984522864
          0,           0,         312,      -2.474658736,      -2.457501232,      -2.984523503
          0,           0,         313,      -2.474658209,        -2.4575006,      -2.984525359
          0,           0,         314,      -2.474658542,      -2.457500829,      -2.984524046
          0,           0,         315,      -2.474660273,      -2.457502127,      -2.984521795
          0,           0,         316,      -2.474661407,      -2.457502616,      -2.984523264
          0,           0,         317,      -2.474658368,      -2.457500781,      -2.984525067
          0,           0,         318,      -2.474662392,      -2.457503096,      -2.984514494
          0,           0,         319,      -2.474659342,      -2.457501064,      -2.984518979
          0,           0,         320,      -2.474660536,      -2.457501351,      -2.984514733
          0,           0,         321,      -2.474658327,      -2.457500854,      -2.984511187
          0,           0,         322,      -2.474659797,      -2.457501609,      -2.984507528
          0,           0,         323,       -2.47465879,      -2.457501134,      -2.984508214
          0,           0,         324,      -2.474656865,       -2.45750038,      -2.984504452
          0,           0,         325,      -2.474659532,      -2.457500779,       -2.98450699
          0,           0,         326,      -2.474661362,      -2.457502771,      -2.984499794
          0,           0,         327,      -2.474657027,      -2.457500727,      -2.984498501
          0,           0,         328,      -2.474657075,      -2.457500602,      -2.984494045
          0,           0,         329,      -2.474662216,      -2.457503532,      -2.984480493
          0,           0,         330,      -2.474656021,      -2.457500609,      -2.984478323
          0,           0,         331,       -2.47465263,      -2.457498679,        -2.9844672
          0,           0,         332,      -2.474656133,      -2.457499309,      -2.984468215
          0,           0,         333,      -2.474653366,      -2.457498734,      -2.984462158
          0,           0,         334,      -2.474652354,       -2.45749841,      -2.984456566
          0,           0,         335,      -2.474654873,      -2.457498895,      -2.984459955
          0,           0,         336,      -2.474654642,      -2.457498717,      -2.984461673
          0,           0,         337,      -2.474654944,      -2.457498551,      -2.984463609
          0,           0,         338,       -2.47465397,      -2.457498598,      -2.984460273
          0,           0,         339,      -2.474650784,      -2.457497934,      -2.984450016
          0,           0,         340,       -2.47465444,      -2.457498265,      -2.984456279
          0,           0,         341,      -2.474652446,      -2.457497785,      -2.984453404
          0,           0,         342,      -2.474652639,      -2.457497928,      -2.984451187
          0,           0,         343,      -2.474653134,      -2.457498027,      -2.984452034
          0,           0,         344,      -2.474652595,      -2.457497873,      -2.984451468
          0,           0,         345,      -2.474656281,      -2.457499878,      -2.984447372
          0,           0,         346,       -2.47465075,      -2.457497401,      -2.984441982
          0,           0,         347,      -2.474657117,      -2.457501359,      -2.984413514
          0,           0,         348,      -2.474650634,      -2.457498012,      -2.984407317
          0,           0,         349,      -2.474651311,      -2.457497241,      -2.984401882
          0,           0,         350,      -2.474649787,      -2.457496477,      -2.984398911
          0,           0,         351,      -2.474648797,      -2.457496161,       -2.98439426
          0,           0,         352,       -2.47464919,      -2.457496424,      -2.984392147
          0,           0,         353,      -2.474651764,      -2.457497363,      -2.984393178
          0,           0,         354,      -2.474648794,      -2.457496229,      -2.984390773
          0,           0,         355,      -2.474652001,      -2.457496882,       -2.98439159
          0,           0,         356,      -2.474653797,      -2.457498116,       -2.98438695
          0,           0,         357,       -2.47465113,      -2.457496206,      -2.984391591
          0,           0,         358,      -2.474648339,      -2.457495741,      -2.984382114
          0,           0,         359,      -2.474649826,      -2.457496009,      -2.984382745
          0,           0,         360,      -2.474648279,      -2.457495022,      -2.984383529
          0,           0,         361,      -2.474646387,      -2.457495502,       -2.98437155
          0,           0,         362,      -2.474645982,      -2.457495229,      -2.984369515
          0,           0,         363,      -2.474649439,      -2.457495386,      -2.984378338
          0,           0,         364,      -2.474646409,      -2.457495749,      -2.984366417
          0,           0,         365,      -2.474645715,      -2.457495597,      -2.984362042
          0,           0,         366,       -2.47464989,       -2.45749617,      -2.984369066
          0,           0,         367,      -2.474648345,      -2.457496047,      -2.984366928
          0,           0,         368,      -2.474647162,      -2.457494991,      -2.984367669
          0,           0,         369,      -2.474646637,       -2.45749534,       -2.98436216
          0,           0,         370,      -2.474651755,      -2.457497393,       -2.98435586
          0,           0,         371,      -2.474644722,      -2.457495565,      -2.984339729
          0,           0,         372,      -2.474647079,      -2.457494261,       -2.98434641
          0,           0,         373,      -2.474646036,      -2.457494601,      -2.984339394
          0,           0,         374,       -2.47464511,      -2.457494072,      -2.984337871
          0,           0,         375,      -2.474642247,      -2.457494615,      -2.984320326
          0,           0,         376,      -2.474645855,      -2.457495234,      -2.984326612
          0,           0,         377,      -2.474643813,      -2.457493891,      -2.984328137
          0,           0,         378,      -2.474643357,      -2.457494071,      -2.984322982
