Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus,,
67,0.995331,0,79.2964,0,8.56E-08,0,0,0,0,0,0,0.769731,-0.0285313,0,0.770259,31.7186,-0.054961,0.00398229,0.000428667,0,0.00400529,1.00382,0,0,0,0,0.42563,,
68,0.995274,0,79.2902,0,8.56E-08,0,0,0,0,0,0,0.762378,-0.0293192,0,0.762941,31.7161,-0.0599406,0.00399306,0.000425887,0,0.00401571,1.0038,0,0,0,0,0.42616,,
69,0.995216,0,79.2839,0,8.56E-08,0,0,0,0,0,0,0.754887,-0.0301145,0,0.755487,31.7136,-0.0649471,0.00400375,0.000422996,0,0.00402603,1.00378,0,0,0,0,0.426684,,
70,0.995159,0,79.2776,0,8.56E-08,0,0,0,0,0,0,0.747259,-0.0309165,0,0.747899,31.711,-0.0699816,0.00401433,0.00041999,0,0.00403624,1.00376,0,0,0,0,0.427203,,
71,0.995101,0,79.2713,0,8.56E-08,0,0,0,0,0,0,0.739498,-0.0317246,0,0.740178,31.7085,-0.0750452,0.00402482,0.000416865,0,0.00404635,1.00374,0,0,0,0,0.427717,,
72,0.995042,0,79.2649,0,8.56E-08,0,0,0,0,0,0,0.731603,-0.0325381,0,0.732326,31.706,-0.0801391,0.00403523,0.000413619,0,0.00405637,1.00371,0,0,0,0,0.428226,,
73,0.994984,0,79.2585,0,8.56E-08,0,0,0,0,0,0,0.723579,-0.0333563,0,0.724347,31.7034,-0.0852644,0.00404555,0.000410247,0,0.0040663,1.00369,0,0,0,0,0.42873,,
74,0.994925,0,79.2521,0,8.56E-08,0,0,0,0,0,0,0.715426,-0.0341785,0,0.716242,31.7008,-0.0904215,0.00405579,0.000406746,0,0.00407613,1.00367,0,0,0,0,0.429229,,
75,0.994866,0,79.2456,0,8.56E-08,0,0,0,0,0,0,0.707149,-0.035004,0,0.708015,31.6982,-0.0956116,0.00406596,0.000403111,0,0.00408589,1.00365,0,0,0,0,0.429725,,
76,0.994807,0,79.239,0,8.56E-08,0,0,0,0,0,0,0.69875,-0.0358319,0,0.699668,31.6956,-0.100835,0.00407605,0.000399338,0,0.00409556,1.00362,0,0,0,0,0.430216,,
77,0.994747,0,79.2325,0,8.56E-08,0,0,0,0,0,0,0.690232,-0.0366613,0,0.691205,31.693,-0.106094,0.00408608,0.000395421,0,0.00410517,1.0036,0,0,0,0,0.430703,,
78,0.994686,0,79.2258,0,8.56E-08,0,0,0,0,0,0,0.6816,-0.0374915,0,0.68263,31.6903,-0.111387,0.00409605,0.000391357,0,0.00411471,1.00358,0,0,0,0,0.431187,,
79,0.994626,0,79.2192,0,8.56E-08,0,0,0,0,0,0,0.672857,-0.0383215,0,0.673947,31.6877,-0.116716,0.00410598,0.000387138,0,0.00412419,1.00355,0,0,0,0,0.431668,,
80,0.994565,0,79.2125,0,8.56E-08,0,0,0,0,0,0,0.664007,-0.0391503,0,0.66516,31.685,-0.122081,0.00411586,0.000382759,0,0.00413362,1.00353,0,0,0,0,0.432146,,
81,0.994504,0,79.2057,0,8.56E-08,0,0,0,0,0,0,0.655054,-0.0399771,0,0.656273,31.6823,-0.127482,0.0041257,0.000378214,0,0.004143,1.00351,0,0,0,0,0.432622,,
82,0.994442,0,79.1989,0,8.56E-08,0,0,0,0,0,0,0.646003,-0.0408007,0,0.64729,31.6796,-0.132919,0.00413552,0.000373496,0,0.00415235,1.00348,0,0,0,0,0.433096,,
83,0.99438,0,79.1921,0,8.56E-08,0,0,0,0,0,0,0.63686,-0.0416203,0,0.638218,31.6768,-0.138393,0.00414532,0.000368599,0,0.00416168,1.00346,0,0,0,0,0.433569,,
84,0.994317,0,79.1852,0,8.56E-08,0,0,0,0,0,0,0.627628,-0.0424346,0,0.629061,31.6741,-0.143903,0.00415511,0.000363516,0,0.00417098,1.00344,0,0,0,0,0.434041,,
85,0.994254,0,79.1783,0,8.56E-08,0,0,0,0,0,0,0.618314,-0.0432427,0,0.619824,31.6713,-0.149448,0.0041649,0.000358239,0,0.00418028,1.00341,0,0,0,0,0.434512,,
86,0.994191,0,79.1713,0,8.55E-08,0,0,0,0,0,0,0.608923,-0.0440435,0,0.610514,31.6685,-0.155028,0.0041747,0.000352759,0,0.00418958,1.00339,0,0,0,0,0.434983,,
87,0.994127,0,79.1643,0,8.55E-08,0,0,0,0,0,0,0.599461,-0.0448359,0,0.601135,31.6657,-0.160642,0.00418452,0.00034707,0,0.00419889,1.00336,0,0,0,0,0.435455,,
88,0.994063,0,79.1572,0,8.55E-08,0,0,0,0,0,0,0.589933,-0.0456186,0,0.591694,31.6629,-0.166287,0.00419437,0.000341163,0,0.00420822,1.00334,0,0,0,0,0.435928,,
89,0.993999,0,79.1501,0,8.55E-08,0,0,0,0,0,0,0.580346,-0.0463906,0,0.582197,31.66,-0.171963,0.00420425,0.00033503,0,0.00421758,1.00331,0,0,0,0,0.436402,,
90,0.993934,0,79.143,0,8.55E-08,0,0,0,0,0,0,0.570705,-0.0471508,0,0.57265,31.6572,-0.177669,0.00421418,0.000328661,0,0.00422698,1.00329,0,0,0,0,0.436879,,
91,0.993869,0,79.1358,0,8.55E-08,0,0,0,0,0,0,0.561019,-0.0478979,0,0.56306,31.6543,-0.183402,0.00422417,0.000322048,0,0.00423643,1.00326,0,0,0,0,0.437358,,
92,0.993803,0,79.1286,0,8.55E-08,0,0,0,0,0,0,0.551292,-0.0486309,0,0.553432,31.6515,-0.189161,0.00423422,0.000315182,0,0.00424594,1.00324,0,0,0,0,0.43784,,
93,0.993737,0,79.1214,0,8.55E-08,0,0,0,0,0,0,0.541531,-0.0493485,0,0.543775,31.6486,-0.194945,0.00424435,0.000308053,0,0.00425551,1.00321,0,0,0,0,0.438325,,
94,0.993671,0,79.1141,0,8.55E-08,0,0,0,0,0,0,0.531744,-0.0500497,0,0.534094,31.6457,-0.20075,0.00425455,0.000300652,0,0.00426516,1.00319,0,0,0,0,0.438814,,
95,0.993605,0,79.1069,0,8.55E-08,0,0,0,0,0,0,0.521937,-0.0507332,0,0.524397,31.6427,-0.206572,0.00426484,0.000292969,0,0.00427489,1.00316,0,0,0,0,0.439307,,
96,0.993539,0,79.0996,0,8.55E-08,0,0,0,0,0,0,0.512117,-0.0513979,0,0.514689,31.6398,-0.212409,0.00427522,0.000284995,0,0.00428471,1.00314,0,0,0,0,0.439805,,
97,0.993472,0,79.0923,0,8.55E-08,0,0,0,0,0,0,0.50229,-0.0520429,0,0.504979,31.6369,-0.218257,0.0042857,0.000276719,0,0.00429462,1.00311,0,0,0,0,0.440307,,
98,0.993405,0,79.0849,0,8.55E-08,0,0,0,0,0,0,0.492465,-0.0526668,0,0.495273,31.634,-0.224114,0.00429627,0.000268134,0,0.00430463,1.00309,0,0,0,0,0.440814,,
99,0.993338,0,79.0776,0,8.55E-08,0,0,0,0,0,0,0.482647,-0.0532688,0,0.485577,31.631,-0.229978,0.00430695,0.000259228,0,0.00431475,1.00306,0,0,0,0,0.441326,,
100,0.993271,0,79.0703,0,8.55E-08,0,0,0,0,0,0,0.472843,-0.0538478,0,0.4759,31.6281,-0.235843,0.00431775,0.000249994,0,0.00432498,1.00304,0,0,0,0,0.441844,,
101,0.993203,0,79.063,0,8.55E-08,0,0,0,0,0,0,0.463061,-0.0544028,0,0.466246,31.6252,-0.241704,0.00432865,0.000240421,0,0.00433532,1.00301,0,0,0,0,0.442368,,
102,0.993136,0,79.0556,0,8.55E-08,0,0,0,0,0,0,0.453308,-0.0549329,0,0.456624,31.6223,-0.247557,0.00433967,0.0002305,0,0.00434578,1.00299,0,0,0,0,0.442897,,
103,0.993069,0,79.0483,0,8.55E-08,0,0,0,0,0,0,0.443589,-0.0554371,0,0.44704,31.6193,-0.253401,0.0043508,0.000220223,0,0.00435637,1.00296,0,0,0,0,0.443433,,
104,0.993002,0,79.041,0,8.55E-08,0,0,0,0,0,0,0.433912,-0.0559146,0,0.4375,31.6164,-0.259233,0.00436204,0.000209582,0,0.00436707,1.00294,0,0,0,0,0.443974,,
105,0.992934,0,79.0338,0,8.55E-08,0,0,0,0,0,0,0.424283,-0.0563647,0,0.428011,31.6135,-0.265043,0.00437339,0.000198566,0,0.0043779,1.00291,0,0,0,0,0.444522,,
106,0.992867,0,79.0265,0,8.55E-08,0,0,0,0,0,0,0.414709,-0.0567865,0,0.418579,31.6106,-0.270831,0.00438485,0.00018717,0,0.00438884,1.00289,0,0,0,0,0.445075,,
107,0.9928,0,79.0193,0,8.55E-08,0,0,0,0,0,0,0.405195,-0.0571794,0,0.40921,31.6077,-0.276595,0.0043964,0.000175384,0,0.0043999,1.00286,0,0,0,0,0.445634,,
108,0.992733,0,79.0122,0,8.55E-08,0,0,0,0,0,0,0.395749,-0.0575429,0,0.39991,31.6049,-0.282333,0.00440805,0.000163201,0,0.00441107,1.00284,0,0,0,0,0.446198,,
109,0.992666,0,79.005,0,8.55E-08,0,0,0,0,0,0,0.386375,-0.0578762,0,0.390686,31.602,-0.288038,0.0044198,0.000150615,0,0.00442236,1.00282,0,0,0,0,0.446768,,
110,0.992599,0,78.9979,0,8.55E-08,0,0,0,0,0,0,0.37708,-0.058179,0,0.381542,31.5992,-0.293712,0.00443162,0.000137618,0,0.00443376,1.0028,0,0,0,0,0.447343,,
111,0.992532,0,78.9909,0,8.55E-08,0,0,0,0,0,0,0.367869,-0.0584509,0,0.372483,31.5964,-0.299357,0.00444352,0.000124205,0,0.00444525,1.00277,0,0,0,0,0.447923,,
112,0.992465,0,78.9839,0,8.55E-08,0,0,0,0,0,0,0.358747,-0.0586915,0,0.363516,31.5935,-0.304973,0.00445548,0.00011037,0,0.00445685,1.00275,0,0,0,0,0.448508,,
