"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         200,      -4.265566131,      -3.453812159,      -3.514070644,      -2.222051779,        -10.383026
          0,           0,         201,       -4.26498517,      -3.451923515,      -3.510605684,      -2.221422367,      -10.38096381
          0,           0,         202,      -4.264576848,      -3.450152278,      -3.507375808,      -2.220953166,      -10.37887441
          0,           0,         203,      -4.264320962,      -3.448484725,       -3.50442313,      -2.220624726,      -10.37674738
          0,           0,         204,      -4.264191957,      -3.446904712,      -3.501783153,      -2.220412733,      -10.37460546
          0,           0,         205,      -4.264159926,      -3.445395472,       -3.49948361,      -2.220289004,      -10.37253714
          0,           0,         206,       -4.26419148,      -3.443941591,      -3.497544009,      -2.220222205,      -10.37047875
          0,           0,         207,      -4.264251261,      -3.442528526,      -3.495976701,      -2.220179234,      -10.36837694
          0,           0,         208,      -4.264303327,      -3.441143552,      -3.494786819,      -2.220126526,       -10.3662572
          0,           0,         209,      -4.264312782,      -3.439777298,      -3.493971588,      -2.220031564,      -10.36419332
          0,           0,         210,       -4.26424729,      -3.438424688,       -3.49352004,      -2.219864311,      -10.36214387
          0,           0,         211,      -4.264078429,      -3.437083994,      -3.493413671,       -2.21959853,      -10.35999731
          0,           0,         212,      -4.263783317,      -3.435756663,       -3.49362717,      -2.219213389,      -10.35797615
          0,           0,         213,      -4.263345188,      -3.434446175,      -3.494129228,      -2.218693865,       -10.3560667
          0,           0,         214,      -4.262754438,      -3.433158547,      -3.494881684,      -2.218031748,      -10.35414096
          0,           0,         215,      -4.262008665,      -3.431901099,      -3.495841266,      -2.217225765,       -10.3521412
          0,           0,         216,      -4.261112912,      -3.430681186,      -3.496960182,       -2.21628185,      -10.35027628
          0,           0,         217,      -4.260078983,      -3.429506369,      -3.498188683,      -2.215212426,      -10.34848628
          0,           0,         218,      -4.258925004,      -3.428383172,      -3.499475936,      -2.214035974,      -10.34672309
          0,           0,         219,      -4.257674114,      -3.427317241,      -3.500771413,      -2.212775785,      -10.34495118
          0,           0,         220,      -4.256353623,      -3.426312355,      -3.502027441,      -2.211459165,       -10.3432647
          0,           0,         221,      -4.254993603,      -3.425371699,       -3.50320032,      -2.210116093,      -10.34173203
          0,           0,         222,      -4.253625903,      -3.424497269,      -3.504254406,      -2.208778321,      -10.34018473
          0,           0,         223,      -4.252282844,      -3.423690115,      -3.505162092,      -2.207478009,      -10.33867835
          0,           0,         224,      -4.250996158,      -3.422950888,      -3.505904745,      -2.206246672,      -10.33728491
          0,           0,         225,      -4.249796259,      -3.422280923,      -3.506473745,       -2.20511455,      -10.33594101
          0,           0,         226,      -4.248711616,      -3.421682468,      -3.506870949,      -2.204110021,       -10.3346756
          0,           0,         227,      -4.247768155,      -3.421158722,      -3.507109204,      -2.203258986,      -10.33343109
          0,           0,         228,      -4.246989042,       -3.42071456,      -3.507209903,       -2.20258457,      -10.33216951
          0,           0,         229,      -4.246394307,      -3.420357206,      -3.507201267,      -2.202106694,      -10.33085936
          0,           0,         230,      -4.246000939,      -3.420096523,      -3.507116443,      -2.201842296,      -10.32951606
          0,           0,         231,      -4.245822972,      -3.419944856,      -3.506992583,      -2.201805424,      -10.32811934
          0,           0,         232,      -4.245871457,      -3.419915195,      -3.506868129,      -2.202006973,       -10.3267353
          0,           0,         233,       -4.24615465,      -3.420022989,      -3.506779791,      -2.202454898,      -10.32529899
          0,           0,         234,      -4.246678219,      -3.420284868,      -3.506760489,      -2.203154417,      -10.32373678
          0,           0,         235,      -4.247445606,      -3.420718188,      -3.506838379,      -2.204108375,      -10.32211053
          0,           0,         236,      -4.248458292,      -3.421339354,      -3.507035728,      -2.205317428,       -10.3204706
          0,           0,         237,      -4.249716014,       -3.42216357,      -3.507367991,      -2.206780196,      -10.31881377
          0,           0,         238,      -4.251216931,      -3.423203335,      -3.507843098,       -2.20849336,      -10.31711993
          0,           0,         239,      -4.252957904,       -3.42446832,      -3.508461202,      -2.210451905,      -10.31533861
